epoch,train_loss,train_ap,train_auc,val_loss,val_ap,val_auc,test_loss,test_ap,test_auc,train_wall_s,epoch_wall_s,cumulative_train_wall_s,cumulative_epoch_wall_s
1,0.36123439272552055,0.9145727287459445,0.9186818640338246,0.3911861188018445,0.9032917940681484,0.9062630325513806,0.37022592870845006,0.9130432539971435,0.9140568846513866,1407.1701526641846,1955.8888688087463,1407.1701526641846,1955.8888688087463
2,0.33571977782015033,0.9245851896819761,0.9297292124485604,0.3863506641430953,0.9041087248799522,0.9072548327700625,0.3592514452476477,0.9142035792813726,0.9157943243150218,1396.5952858924866,1945.8060548305511,2803.765438556671,3901.6949236392975
3,0.32031651085857477,0.9285539304312529,0.9354239128001378,0.4104501948682303,0.9033838365005876,0.9048495189003436,0.38261186078421233,0.9131061855559035,0.9133821510049639,1399.2712602615356,1947.788155078888,4203.036698818207,5849.483078718185
4,0.304157193778128,0.9320986663191954,0.940622379174158,0.46760526846364603,0.9017363434640274,0.9016108077021384,0.43884584785813524,0.9120776202393249,0.9112170353230086,1401.648767709732,1950.283329963684,5604.685466527939,7799.7664086818695
5,0.2910273086676358,0.9343380988415607,0.9440349344972034,0.580619798124451,0.9002498695950971,0.8995589568245718,0.5496663323421146,0.9105515860695665,0.9092225151444181,1871.4436168670654,3742.0728590488434,7476.129083395004,11541.839267730713
