epoch,train_loss,train_ap,train_auc,val_loss,val_ap,val_auc,test_loss,test_ap,test_auc,train_wall_s,epoch_wall_s,cumulative_train_wall_s,cumulative_epoch_wall_s
1,0.3643605011098426,0.9128772171231438,0.9171985543878203,0.3893640952319214,0.9049398445809641,0.9074597050519251,0.36766720163760724,0.9144795074405838,0.9156256033842238,1426.4458739757538,1983.3610336780548,1426.4458739757538,1983.3610336780548
2,0.3349075377336446,0.9249911815104505,0.9300995428342989,0.3848593635042918,0.9061669536712202,0.9085306814513455,0.36137500594264454,0.9147233817676239,0.9159739980721544,1419.8238997459412,1978.8537092208862,2846.269773721695,3962.214742898941
3,0.31991554376263037,0.9285915812152903,0.9355208393732911,0.4177565385385887,0.9033708401444668,0.9045831596423466,0.3959438102300634,0.9123370633319089,0.9119014362467882,1415.8333930969238,1971.23983669281,4262.103166818619,5933.454579591751
4,0.30175546622228894,0.9323714933050081,0.9411751606008384,0.5009554264471703,0.9014985206528674,0.9013909058485511,0.4771180397379644,0.9108369753748825,0.9096371463696046,1415.6621623039246,1974.2705857753754,5677.765329122543,7907.7251653671265
5,0.2902613771890862,0.9342365100925325,0.9441451830816695,0.5780180116289669,0.9013141431820809,0.9009775907978567,0.5519530266523361,0.9106465325009251,0.9089321034261254,1426.3210616111755,1987.3028852939606,7104.086390733719,9895.028050661087
